ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
B2508-C-3000.DCE,20250630,DCE,567.0,567.0,0.0,0.0,0.0,578.0,578.0,0.0,0.0,0.0
B2508-C-3100.DCE,20250630,DCE,467.0,467.0,0.0,0.0,0.0,478.0,478.0,0.0,0.0,0.0
B2508-C-3150.DCE,20250630,DCE,417.0,417.0,0.0,0.0,0.0,428.0,428.0,0.0,0.0,0.0
B2508-C-3200.DCE,20250630,DCE,367.0,367.0,0.0,0.0,0.0,378.0,378.0,0.0,0.0,0.0
B2508-C-3250.DCE,20250630,DCE,317.0,317.0,0.0,0.0,0.0,328.0,328.0,0.0,0.0,0.0
B2508-C-3300.DCE,20250630,DCE,267.0,267.0,0.0,0.0,0.0,278.0,278.0,0.0,0.0,0.0
B2508-C-3350.DCE,20250630,DCE,218.0,218.0,0.0,0.0,0.0,229.0,229.0,0.0,0.0,0.0
B2508-C-3400.DCE,20250630,DCE,171.0,171.0,0.0,0.0,0.0,181.5,181.5,0.0,0.0,1.0
B2508-C-3450.DCE,20250630,DCE,127.0,128.5,128.0,128.0,128.0,128.0,137.0,2.0,0.26,17.0
B2508-C-3500.DCE,20250630,DCE,88.5,90.0,95.0,98.0,82.5,91.0,97.5,33.0,2.99,57.0
B2508-C-3550.DCE,20250630,DCE,57.0,54.5,60.0,60.0,59.0,59.0,64.5,10.0,0.6,60.0
B2508-C-3600.DCE,20250630,DCE,33.5,32.5,32.0,37.5,29.0,32.5,39.5,1272.0,41.73,1335.0
B2508-C-3650.DCE,20250630,DCE,18.0,18.0,19.0,21.5,17.0,18.5,22.0,836.0,16.35,1005.0
B2508-C-3700.DCE,20250630,DCE,8.5,11.5,12.0,13.5,10.5,11.5,11.0,828.0,9.88,554.0
B2508-C-3750.DCE,20250630,DCE,3.5,7.0,7.0,7.5,6.5,7.5,5.0,165.0,1.15,370.0
B2508-C-3800.DCE,20250630,DCE,1.5,4.5,4.5,5.5,4.5,5.5,2.0,415.0,1.83,558.0
B2508-C-3850.DCE,20250630,DCE,0.5,3.5,3.5,3.5,3.0,3.5,0.5,118.0,0.39,249.0
B2508-C-3900.DCE,20250630,DCE,0.5,3.0,2.5,2.5,2.5,2.5,0.5,24.0,0.05,71.0
B2508-C-3950.DCE,20250630,DCE,0.5,2.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,93.0
B2508-C-4000.DCE,20250630,DCE,0.5,1.5,1.5,1.5,1.5,1.5,0.5,38.0,0.05,210.0
B2508-C-4050.DCE,20250630,DCE,0.5,1.0,1.0,1.0,1.0,1.0,0.5,52.0,0.05,148.0
B2508-C-4100.DCE,20250630,DCE,0.5,1.0,0.5,0.5,0.5,0.5,0.5,343.0,0.17,501.0
B2508-P-3000.DCE,20250630,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,15.0
B2508-P-3100.DCE,20250630,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,18.0
B2508-P-3150.DCE,20250630,DCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,18.0
B2508-P-3200.DCE,20250630,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,16.0
B2508-P-3250.DCE,20250630,DCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,15.0,0.01,325.0
B2508-P-3300.DCE,20250630,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,116.0
B2508-P-3350.DCE,20250630,DCE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,219.0
B2508-P-3400.DCE,20250630,DCE,4.0,3.0,2.5,3.0,2.0,3.0,3.5,186.0,0.52,521.0
B2508-P-3450.DCE,20250630,DCE,10.0,5.5,5.5,6.5,5.0,6.5,9.0,199.0,1.18,256.0
B2508-P-3500.DCE,20250630,DCE,21.5,14.5,12.5,16.0,11.5,13.0,19.5,283.0,3.67,504.0
B2508-P-3550.DCE,20250630,DCE,40.0,31.0,27.5,33.5,26.0,29.0,36.5,246.0,7.41,453.0
B2508-P-3600.DCE,20250630,DCE,66.5,60.0,53.0,63.5,48.5,53.5,61.5,100.0,5.49,80.0
B2508-P-3650.DCE,20250630,DCE,101.0,104.0,93.0,94.5,82.5,94.5,94.0,20.0,1.72,56.0
B2508-P-3700.DCE,20250630,DCE,141.5,141.5,0.0,0.0,0.0,133.0,133.0,0.0,0.0,53.0
B2508-P-3750.DCE,20250630,DCE,186.5,189.0,175.0,184.5,175.0,181.0,177.0,3.0,0.54,36.0
B2508-P-3800.DCE,20250630,DCE,234.5,234.5,0.0,0.0,0.0,224.0,224.0,0.0,0.0,2.0
B2508-P-3850.DCE,20250630,DCE,283.5,283.5,0.0,0.0,0.0,273.0,273.0,0.0,0.0,31.0
B2508-P-3900.DCE,20250630,DCE,333.0,333.0,0.0,0.0,0.0,322.5,322.5,0.0,0.0,20.0
B2508-P-3950.DCE,20250630,DCE,383.0,383.0,0.0,0.0,0.0,372.0,372.0,0.0,0.0,0.0
B2508-P-4000.DCE,20250630,DCE,433.0,433.0,0.0,0.0,0.0,422.0,422.0,0.0,0.0,0.0
B2508-P-4050.DCE,20250630,DCE,483.0,483.0,0.0,0.0,0.0,472.0,472.0,0.0,0.0,0.0
B2508-P-4100.DCE,20250630,DCE,533.0,533.0,0.0,0.0,0.0,522.0,522.0,0.0,0.0,0.0
B2509-C-3000.DCE,20250630,DCE,601.0,601.0,0.0,0.0,0.0,611.0,611.0,0.0,0.0,0.0
B2509-C-3100.DCE,20250630,DCE,501.0,501.0,0.0,0.0,0.0,511.0,511.0,0.0,0.0,0.0
B2509-C-3150.DCE,20250630,DCE,451.0,451.0,0.0,0.0,0.0,461.0,461.0,0.0,0.0,0.0
B2509-C-3200.DCE,20250630,DCE,402.0,402.0,0.0,0.0,0.0,412.0,412.0,0.0,0.0,0.0
B2509-C-3250.DCE,20250630,DCE,353.5,353.5,0.0,0.0,0.0,364.0,364.0,0.0,0.0,0.0
B2509-C-3300.DCE,20250630,DCE,306.5,306.5,0.0,0.0,0.0,317.0,317.0,0.0,0.0,0.0
B2509-C-3350.DCE,20250630,DCE,261.0,261.0,0.0,0.0,0.0,272.0,272.0,0.0,0.0,10.0
B2509-C-3400.DCE,20250630,DCE,218.5,218.5,0.0,0.0,0.0,229.0,229.0,0.0,0.0,38.0
B2509-C-3450.DCE,20250630,DCE,178.5,169.5,182.0,182.0,182.0,182.0,189.5,1.0,0.18,50.0
B2509-C-3500.DCE,20250630,DCE,143.0,137.0,141.0,141.0,133.0,141.0,153.0,12.0,1.63,171.0
B2509-C-3550.DCE,20250630,DCE,111.5,100.0,110.5,110.5,106.0,108.5,121.0,6.0,0.65,396.0
B2509-C-3600.DCE,20250630,DCE,84.5,76.5,78.0,86.0,77.5,80.0,93.5,76.0,6.12,494.0
B2509-C-3650.DCE,20250630,DCE,62.5,55.5,58.0,63.0,54.5,62.0,70.5,161.0,9.66,999.0
B2509-C-3700.DCE,20250630,DCE,45.0,42.5,42.5,49.5,42.5,47.0,52.0,175.0,7.99,1564.0
B2509-C-3750.DCE,20250630,DCE,31.0,30.5,33.0,35.5,32.0,35.0,37.0,96.0,3.29,448.0
B2509-C-3800.DCE,20250630,DCE,21.0,23.0,24.5,28.0,24.5,27.0,25.5,467.0,12.28,1959.0
B2509-C-3850.DCE,20250630,DCE,14.0,18.0,19.0,20.5,18.5,20.5,17.5,56.0,1.1,316.0
B2509-C-3900.DCE,20250630,DCE,8.5,14.5,15.5,16.0,14.0,15.0,11.5,100.0,1.52,635.0
B2509-C-3950.DCE,20250630,DCE,5.5,11.0,11.5,13.0,11.5,13.0,7.0,87.0,1.03,535.0
B2509-C-4000.DCE,20250630,DCE,3.0,8.0,9.5,11.0,8.5,10.5,4.5,599.0,5.97,871.0
B2509-C-4050.DCE,20250630,DCE,1.5,7.0,7.5,8.5,7.0,8.5,2.5,104.0,0.84,311.0
B2509-C-4100.DCE,20250630,DCE,1.0,5.5,5.5,5.5,5.5,5.5,1.5,35.0,0.13,340.0
B2509-P-3000.DCE,20250630,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,512.0
B2509-P-3100.DCE,20250630,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,74.0
B2509-P-3150.DCE,20250630,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,347.0
B2509-P-3200.DCE,20250630,DCE,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,0.0,394.0
B2509-P-3250.DCE,20250630,DCE,3.0,3.5,3.0,3.0,3.0,3.0,3.5,49.0,0.15,347.0
B2509-P-3300.DCE,20250630,DCE,6.0,5.5,5.0,5.0,4.5,4.5,6.5,114.0,0.57,257.0
B2509-P-3350.DCE,20250630,DCE,10.5,8.5,7.5,7.5,7.0,7.5,11.5,75.0,0.61,501.0
B2509-P-3400.DCE,20250630,DCE,17.5,13.0,12.5,12.5,11.5,11.5,18.5,64.0,0.76,257.0
B2509-P-3450.DCE,20250630,DCE,28.0,20.5,19.5,20.0,17.5,19.0,28.5,157.0,2.91,405.0
B2509-P-3500.DCE,20250630,DCE,42.0,32.0,31.5,32.0,28.5,29.5,42.5,99.0,3.06,804.0
B2509-P-3550.DCE,20250630,DCE,60.5,51.5,55.5,55.5,44.0,47.0,60.5,106.0,4.92,1417.0
B2509-P-3600.DCE,20250630,DCE,83.5,75.0,70.5,72.0,62.5,68.5,82.5,81.0,5.5,1467.0
B2509-P-3650.DCE,20250630,DCE,111.5,105.0,98.5,98.5,95.0,98.0,109.5,54.0,5.36,409.0
B2509-P-3700.DCE,20250630,DCE,143.5,137.0,129.5,129.5,129.5,129.5,140.5,29.0,3.8,377.0
B2509-P-3750.DCE,20250630,DCE,180.0,181.0,170.5,170.5,163.0,163.0,176.0,2.0,0.33,395.0
B2509-P-3800.DCE,20250630,DCE,220.0,225.5,0.0,0.0,0.0,214.5,214.5,0.0,0.0,208.0
B2509-P-3850.DCE,20250630,DCE,262.5,270.5,255.5,255.5,255.5,255.5,256.0,2.0,0.51,159.0
B2509-P-3900.DCE,20250630,DCE,307.5,307.5,0.0,0.0,0.0,300.0,300.0,0.0,0.0,85.0
B2509-P-3950.DCE,20250630,DCE,354.0,354.0,0.0,0.0,0.0,346.0,346.0,0.0,0.0,25.0
B2509-P-4000.DCE,20250630,DCE,402.0,402.0,0.0,0.0,0.0,393.0,393.0,0.0,0.0,1.0
B2509-P-4050.DCE,20250630,DCE,450.5,450.5,0.0,0.0,0.0,441.5,441.5,0.0,0.0,0.0
B2509-P-4100.DCE,20250630,DCE,500.0,500.0,0.0,0.0,0.0,490.5,490.5,0.0,0.0,0.0
B2510-C-3000.DCE,20250630,DCE,652.0,652.0,0.0,0.0,0.0,660.0,660.0,0.0,0.0,0.0
B2510-C-3100.DCE,20250630,DCE,552.0,552.0,0.0,0.0,0.0,560.5,560.5,0.0,0.0,0.0
B2510-C-3150.DCE,20250630,DCE,503.0,503.0,0.0,0.0,0.0,511.5,511.5,0.0,0.0,0.0
B2510-C-3200.DCE,20250630,DCE,454.5,454.5,0.0,0.0,0.0,463.5,463.5,0.0,0.0,0.0
B2510-C-3250.DCE,20250630,DCE,407.0,407.0,0.0,0.0,0.0,416.0,416.0,0.0,0.0,0.0
B2510-C-3300.DCE,20250630,DCE,360.5,360.5,0.0,0.0,0.0,370.5,370.5,0.0,0.0,0.0
B2510-C-3350.DCE,20250630,DCE,316.0,316.0,0.0,0.0,0.0,326.0,326.0,0.0,0.0,0.0
B2510-C-3400.DCE,20250630,DCE,273.5,273.5,0.0,0.0,0.0,284.0,284.0,0.0,0.0,0.0
B2510-C-3450.DCE,20250630,DCE,234.0,234.0,0.0,0.0,0.0,244.5,244.5,0.0,0.0,0.0
B2510-C-3500.DCE,20250630,DCE,197.0,197.0,0.0,0.0,0.0,208.0,208.0,0.0,0.0,0.0
B2510-C-3550.DCE,20250630,DCE,163.5,163.5,0.0,0.0,0.0,174.5,174.5,0.0,0.0,0.0
B2510-C-3600.DCE,20250630,DCE,133.5,133.5,0.0,0.0,0.0,144.0,144.0,0.0,0.0,0.0
B2510-C-3650.DCE,20250630,DCE,107.5,107.5,0.0,0.0,0.0,117.5,117.5,0.0,0.0,0.0
B2510-C-3700.DCE,20250630,DCE,85.0,85.0,0.0,0.0,0.0,94.5,94.5,0.0,0.0,0.0
B2510-C-3750.DCE,20250630,DCE,66.0,66.0,0.0,0.0,0.0,75.0,75.0,0.0,0.0,0.0
B2510-C-3800.DCE,20250630,DCE,50.5,50.5,0.0,0.0,0.0,58.5,58.5,0.0,0.0,0.0
B2510-C-3850.DCE,20250630,DCE,38.0,38.0,0.0,0.0,0.0,44.5,44.5,0.0,0.0,0.0
B2510-C-3900.DCE,20250630,DCE,28.0,28.0,0.0,0.0,0.0,33.5,33.5,0.0,0.0,1.0
B2510-C-3950.DCE,20250630,DCE,20.0,20.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0
B2510-C-4000.DCE,20250630,DCE,14.5,14.5,0.0,0.0,0.0,18.5,18.5,0.0,0.0,2.0
B2510-C-4050.DCE,20250630,DCE,10.0,10.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0
B2510-C-4100.DCE,20250630,DCE,7.0,7.0,0.0,0.0,0.0,9.5,9.5,0.0,0.0,5.0
B2510-C-4150.DCE,20250630,DCE,4.5,4.5,0.0,0.0,0.0,6.5,6.5,0.0,0.0,1.0
B2510-C-4200.DCE,20250630,DCE,3.0,3.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,9.0
B2510-P-3000.DCE,20250630,DCE,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
B2510-P-3100.DCE,20250630,DCE,1.0,1.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,12.0
B2510-P-3150.DCE,20250630,DCE,2.0,2.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0
B2510-P-3200.DCE,20250630,DCE,3.5,3.5,0.0,0.0,0.0,4.0,4.0,0.0,0.0,11.0
B2510-P-3250.DCE,20250630,DCE,6.0,6.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0
B2510-P-3300.DCE,20250630,DCE,9.5,9.5,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
B2510-P-3350.DCE,20250630,DCE,15.0,15.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0
B2510-P-3400.DCE,20250630,DCE,22.5,22.5,0.0,0.0,0.0,25.0,25.0,0.0,0.0,1.0
B2510-P-3450.DCE,20250630,DCE,32.5,32.5,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0
B2510-P-3500.DCE,20250630,DCE,45.5,45.5,0.0,0.0,0.0,48.5,48.5,0.0,0.0,0.0
B2510-P-3550.DCE,20250630,DCE,62.0,62.0,0.0,0.0,0.0,64.5,64.5,0.0,0.0,0.0
B2510-P-3600.DCE,20250630,DCE,82.0,82.0,0.0,0.0,0.0,84.5,84.5,0.0,0.0,0.0
B2510-P-3650.DCE,20250630,DCE,105.5,105.5,0.0,0.0,0.0,107.5,107.5,0.0,0.0,0.0
B2510-P-3700.DCE,20250630,DCE,133.0,133.0,0.0,0.0,0.0,134.5,134.5,0.0,0.0,0.0
B2510-P-3750.DCE,20250630,DCE,164.0,164.0,0.0,0.0,0.0,164.5,164.5,0.0,0.0,0.0
B2510-P-3800.DCE,20250630,DCE,198.0,198.0,0.0,0.0,0.0,198.0,198.0,0.0,0.0,0.0
B2510-P-3850.DCE,20250630,DCE,235.5,235.5,0.0,0.0,0.0,234.5,234.5,0.0,0.0,0.0
B2510-P-3900.DCE,20250630,DCE,275.5,275.5,0.0,0.0,0.0,273.0,273.0,0.0,0.0,0.0
B2510-P-3950.DCE,20250630,DCE,317.5,317.5,0.0,0.0,0.0,314.5,314.5,0.0,0.0,0.0
B2510-P-4000.DCE,20250630,DCE,361.5,361.5,0.0,0.0,0.0,357.5,357.5,0.0,0.0,0.0
B2510-P-4050.DCE,20250630,DCE,407.0,407.0,0.0,0.0,0.0,402.5,402.5,0.0,0.0,0.0
B2510-P-4100.DCE,20250630,DCE,454.0,454.0,0.0,0.0,0.0,448.5,448.5,0.0,0.0,0.0
B2510-P-4150.DCE,20250630,DCE,502.0,502.0,0.0,0.0,0.0,495.5,495.5,0.0,0.0,0.0
B2510-P-4200.DCE,20250630,DCE,550.5,550.5,0.0,0.0,0.0,543.5,543.5,0.0,0.0,0.0
B2511-C-3000.DCE,20250630,DCE,656.0,656.0,0.0,0.0,0.0,667.0,667.0,0.0,0.0,0.0
B2511-C-3100.DCE,20250630,DCE,561.0,561.0,0.0,0.0,0.0,570.0,570.0,0.0,0.0,0.0
B2511-C-3200.DCE,20250630,DCE,470.0,470.0,0.0,0.0,0.0,475.5,475.5,0.0,0.0,0.0
B2511-C-3250.DCE,20250630,DCE,426.5,426.5,0.0,0.0,0.0,430.5,430.5,0.0,0.0,0.0
B2511-C-3300.DCE,20250630,DCE,384.5,384.5,0.0,0.0,0.0,386.5,386.5,0.0,0.0,0.0
B2511-C-3350.DCE,20250630,DCE,344.5,344.5,0.0,0.0,0.0,344.5,344.5,0.0,0.0,0.0
B2511-C-3400.DCE,20250630,DCE,307.0,307.0,0.0,0.0,0.0,305.0,305.0,0.0,0.0,0.0
B2511-C-3450.DCE,20250630,DCE,271.5,271.5,0.0,0.0,0.0,267.5,267.5,0.0,0.0,0.0
B2511-C-3500.DCE,20250630,DCE,238.0,238.0,0.0,0.0,0.0,232.5,232.5,0.0,0.0,0.0
B2511-C-3550.DCE,20250630,DCE,207.5,207.5,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0
B2511-C-3600.DCE,20250630,DCE,179.5,179.5,0.0,0.0,0.0,171.0,171.0,0.0,0.0,1.0
B2511-C-3650.DCE,20250630,DCE,154.5,154.5,0.0,0.0,0.0,144.5,144.5,0.0,0.0,0.0
B2511-C-3700.DCE,20250630,DCE,131.5,131.5,0.0,0.0,0.0,121.0,121.0,0.0,0.0,1.0
B2511-C-3750.DCE,20250630,DCE,111.0,111.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
B2511-C-3800.DCE,20250630,DCE,93.5,93.5,0.0,0.0,0.0,82.5,82.5,0.0,0.0,38.0
B2511-C-3850.DCE,20250630,DCE,78.0,78.0,0.0,0.0,0.0,67.0,67.0,0.0,0.0,0.0
B2511-C-3900.DCE,20250630,DCE,64.5,64.5,0.0,0.0,0.0,54.0,54.0,0.0,0.0,6.0
B2511-C-3950.DCE,20250630,DCE,53.0,38.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,10.0
B2511-C-4000.DCE,20250630,DCE,43.0,33.0,34.0,34.0,34.0,34.0,34.0,1.0,0.03,19.0
B2511-C-4050.DCE,20250630,DCE,34.5,34.5,0.0,0.0,0.0,26.5,26.5,0.0,0.0,4.0
B2511-C-4100.DCE,20250630,DCE,28.0,23.5,0.0,0.0,0.0,20.5,20.5,0.0,0.0,6.0
B2511-C-4150.DCE,20250630,DCE,22.0,22.0,0.0,0.0,0.0,15.5,15.5,0.0,0.0,1.0
B2511-P-3000.DCE,20250630,DCE,4.0,4.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,3.0
B2511-P-3100.DCE,20250630,DCE,8.5,8.5,0.0,0.0,0.0,4.5,4.5,0.0,0.0,4.0
B2511-P-3200.DCE,20250630,DCE,17.5,17.5,0.0,0.0,0.0,10.0,10.0,0.0,0.0,1.0
B2511-P-3250.DCE,20250630,DCE,24.0,24.0,0.0,0.0,0.0,14.5,14.5,0.0,0.0,0.0
B2511-P-3300.DCE,20250630,DCE,32.0,32.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0
B2511-P-3350.DCE,20250630,DCE,42.0,42.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0
B2511-P-3400.DCE,20250630,DCE,54.0,54.0,0.0,0.0,0.0,39.0,39.0,0.0,0.0,1.0
B2511-P-3450.DCE,20250630,DCE,68.0,68.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0,0.0
B2511-P-3500.DCE,20250630,DCE,85.0,85.0,0.0,0.0,0.0,66.0,66.0,0.0,0.0,8.0
B2511-P-3550.DCE,20250630,DCE,104.0,104.0,0.0,0.0,0.0,83.5,83.5,0.0,0.0,0.0
B2511-P-3600.DCE,20250630,DCE,126.0,83.5,0.0,0.0,0.0,104.0,104.0,0.0,0.0,5.0
B2511-P-3650.DCE,20250630,DCE,150.5,150.5,0.0,0.0,0.0,127.5,127.5,0.0,0.0,0.0
B2511-P-3700.DCE,20250630,DCE,177.5,177.5,0.0,0.0,0.0,154.0,154.0,0.0,0.0,0.0
B2511-P-3750.DCE,20250630,DCE,207.0,207.0,0.0,0.0,0.0,183.0,183.0,0.0,0.0,0.0
B2511-P-3800.DCE,20250630,DCE,239.0,239.0,0.0,0.0,0.0,215.0,215.0,0.0,0.0,0.0
B2511-P-3850.DCE,20250630,DCE,273.0,273.0,0.0,0.0,0.0,249.0,249.0,0.0,0.0,0.0
B2511-P-3900.DCE,20250630,DCE,309.5,309.5,0.0,0.0,0.0,286.0,286.0,0.0,0.0,0.0
B2511-P-3950.DCE,20250630,DCE,347.5,347.5,0.0,0.0,0.0,325.0,325.0,0.0,0.0,0.0
B2511-P-4000.DCE,20250630,DCE,388.0,388.0,0.0,0.0,0.0,365.5,365.5,0.0,0.0,0.0
B2511-P-4050.DCE,20250630,DCE,429.5,429.5,0.0,0.0,0.0,408.0,408.0,0.0,0.0,0.0
B2511-P-4100.DCE,20250630,DCE,472.5,472.5,0.0,0.0,0.0,452.0,452.0,0.0,0.0,0.0
B2511-P-4150.DCE,20250630,DCE,516.5,516.5,0.0,0.0,0.0,497.0,497.0,0.0,0.0,0.0
B2512-C-3100.DCE,20250630,DCE,573.5,573.5,0.0,0.0,0.0,580.0,580.0,0.0,0.0,0.0
B2512-C-3200.DCE,20250630,DCE,484.5,484.5,0.0,0.0,0.0,487.5,487.5,0.0,0.0,0.0
B2512-C-3300.DCE,20250630,DCE,401.0,401.0,0.0,0.0,0.0,400.5,400.5,0.0,0.0,0.0
B2512-C-3400.DCE,20250630,DCE,325.0,325.0,0.0,0.0,0.0,321.0,321.0,0.0,0.0,0.0
B2512-C-3500.DCE,20250630,DCE,258.0,258.0,0.0,0.0,0.0,250.0,250.0,0.0,0.0,0.0
B2512-C-3600.DCE,20250630,DCE,199.5,199.5,0.0,0.0,0.0,189.0,189.0,0.0,0.0,0.0
B2512-C-3700.DCE,20250630,DCE,151.0,151.0,0.0,0.0,0.0,138.5,138.5,0.0,0.0,0.0
B2512-C-3800.DCE,20250630,DCE,111.5,111.5,0.0,0.0,0.0,98.5,98.5,0.0,0.0,1.0
B2512-C-3900.DCE,20250630,DCE,80.5,80.5,0.0,0.0,0.0,68.0,68.0,0.0,0.0,4.0
B2512-C-4000.DCE,20250630,DCE,56.5,56.5,0.0,0.0,0.0,45.5,45.5,0.0,0.0,7.0
B2512-C-4100.DCE,20250630,DCE,39.0,39.0,0.0,0.0,0.0,29.5,29.5,0.0,0.0,1.0
B2512-C-4200.DCE,20250630,DCE,26.0,26.0,0.0,0.0,0.0,18.5,18.5,0.0,0.0,2.0
B2512-P-3100.DCE,20250630,DCE,12.5,12.5,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0
B2512-P-3200.DCE,20250630,DCE,23.5,23.5,0.0,0.0,0.0,14.5,14.5,0.0,0.0,0.0
B2512-P-3300.DCE,20250630,DCE,40.0,40.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,1.0
B2512-P-3400.DCE,20250630,DCE,63.5,63.5,0.0,0.0,0.0,47.0,47.0,0.0,0.0,2.0
B2512-P-3500.DCE,20250630,DCE,95.5,95.5,0.0,0.0,0.0,75.5,75.5,0.0,0.0,5.0
B2512-P-3600.DCE,20250630,DCE,137.0,137.0,0.0,0.0,0.0,114.5,114.5,0.0,0.0,0.0
B2512-P-3700.DCE,20250630,DCE,188.0,188.0,0.0,0.0,0.0,163.5,163.5,0.0,0.0,0.0
B2512-P-3800.DCE,20250630,DCE,248.0,248.0,0.0,0.0,0.0,223.0,223.0,0.0,0.0,0.0
B2512-P-3900.DCE,20250630,DCE,316.0,316.0,0.0,0.0,0.0,292.0,292.0,0.0,0.0,0.0
B2512-P-4000.DCE,20250630,DCE,392.0,392.0,0.0,0.0,0.0,369.0,369.0,0.0,0.0,0.0
B2512-P-4100.DCE,20250630,DCE,474.0,474.0,0.0,0.0,0.0,452.5,452.5,0.0,0.0,0.0
B2512-P-4200.DCE,20250630,DCE,561.0,561.0,0.0,0.0,0.0,541.5,541.5,0.0,0.0,0.0
B2601-C-3100.DCE,20250630,DCE,567.5,567.5,0.0,0.0,0.0,571.0,571.0,0.0,0.0,0.0
B2601-C-3200.DCE,20250630,DCE,481.5,481.5,0.0,0.0,0.0,481.5,481.5,0.0,0.0,0.0
B2601-C-3300.DCE,20250630,DCE,401.5,401.5,0.0,0.0,0.0,397.5,397.5,0.0,0.0,0.0
B2601-C-3400.DCE,20250630,DCE,328.5,328.5,0.0,0.0,0.0,321.0,321.0,0.0,0.0,0.0
B2601-C-3500.DCE,20250630,DCE,264.0,264.0,0.0,0.0,0.0,253.5,253.5,0.0,0.0,0.0
B2601-C-3600.DCE,20250630,DCE,208.0,208.0,0.0,0.0,0.0,195.0,195.0,0.0,0.0,0.0
B2601-C-3700.DCE,20250630,DCE,160.5,160.5,0.0,0.0,0.0,146.5,146.5,0.0,0.0,2.0
B2601-C-3800.DCE,20250630,DCE,121.5,121.5,0.0,0.0,0.0,107.0,107.0,0.0,0.0,2.0
B2601-C-3900.DCE,20250630,DCE,90.5,90.5,0.0,0.0,0.0,76.5,76.5,0.0,0.0,9.0
B2601-C-4000.DCE,20250630,DCE,66.0,66.0,0.0,0.0,0.0,53.0,53.0,0.0,0.0,14.0
B2601-C-4100.DCE,20250630,DCE,47.0,47.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0
B2601-C-4200.DCE,20250630,DCE,33.0,33.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0
B2601-P-3100.DCE,20250630,DCE,19.0,19.0,0.0,0.0,0.0,11.5,11.5,0.0,0.0,0.0
B2601-P-3200.DCE,20250630,DCE,32.5,32.5,0.0,0.0,0.0,21.5,21.5,0.0,0.0,0.0
B2601-P-3300.DCE,20250630,DCE,52.0,52.0,0.0,0.0,0.0,37.5,37.5,0.0,0.0,38.0
B2601-P-3400.DCE,20250630,DCE,79.0,79.0,0.0,0.0,0.0,60.5,60.5,0.0,0.0,28.0
B2601-P-3500.DCE,20250630,DCE,114.0,114.0,0.0,0.0,0.0,92.5,92.5,0.0,0.0,42.0
B2601-P-3600.DCE,20250630,DCE,157.0,157.0,0.0,0.0,0.0,133.5,133.5,0.0,0.0,4.0
B2601-P-3700.DCE,20250630,DCE,209.5,209.5,0.0,0.0,0.0,184.0,184.0,0.0,0.0,0.0
B2601-P-3800.DCE,20250630,DCE,270.0,270.0,0.0,0.0,0.0,244.5,244.5,0.0,0.0,0.0
B2601-P-3900.DCE,20250630,DCE,338.0,338.0,0.0,0.0,0.0,313.0,313.0,0.0,0.0,0.0
B2601-P-4000.DCE,20250630,DCE,413.0,413.0,0.0,0.0,0.0,389.5,389.5,0.0,0.0,0.0
B2601-P-4100.DCE,20250630,DCE,494.0,494.0,0.0,0.0,0.0,472.0,472.0,0.0,0.0,0.0
B2601-P-4200.DCE,20250630,DCE,579.5,579.5,0.0,0.0,0.0,559.5,559.5,0.0,0.0,0.0
