ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
MA511C2000.ZCE,20250930,CZCE,298.0,,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0
MA511C2025.ZCE,20250930,CZCE,273.5,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0
MA511C2050.ZCE,20250930,CZCE,248.5,0.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0
MA511C2075.ZCE,20250930,CZCE,224.0,0.0,0.0,0.0,0.0,0.0,210.5,0.0,0.0,0.0
MA511C2100.ZCE,20250930,CZCE,199.0,0.0,0.0,0.0,0.0,0.0,185.5,0.0,0.0,0.0
MA511C2125.ZCE,20250930,CZCE,174.5,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0
MA511C2150.ZCE,20250930,CZCE,150.0,0.0,0.0,0.0,0.0,0.0,136.5,0.0,0.0,0.0
MA511C2175.ZCE,20250930,CZCE,126.0,0.0,112.0,112.0,111.5,111.5,112.5,10.0,1.12,93.0
MA511C2200.ZCE,20250930,CZCE,102.0,104.5,92.0,94.0,79.0,79.0,89.0,118.0,10.37,433.0
MA511C2225.ZCE,20250930,CZCE,79.0,79.0,69.5,72.5,56.5,60.0,67.0,261.0,17.07,515.0
MA511C2250.ZCE,20250930,CZCE,57.0,57.0,51.0,53.0,35.5,35.5,46.5,552.0,25.3,696.0
MA511C2275.ZCE,20250930,CZCE,38.0,39.0,36.0,36.0,20.0,22.5,30.5,3788.0,111.99,2185.0
MA511C2300.ZCE,20250930,CZCE,24.5,26.0,25.0,25.0,13.5,14.5,19.5,13712.0,270.94,5443.0
MA511C2325.ZCE,20250930,CZCE,16.5,18.0,14.5,16.0,9.0,9.5,13.5,11801.0,153.79,5564.0
MA511C2350.ZCE,20250930,CZCE,12.5,12.5,10.5,11.5,6.0,6.5,9.0,11302.0,106.45,7351.0
MA511C2375.ZCE,20250930,CZCE,10.0,8.5,8.5,8.5,3.5,4.5,6.5,5568.0,34.87,3505.0
MA511C2400.ZCE,20250930,CZCE,8.0,6.5,6.0,6.0,3.0,4.5,4.5,5263.0,23.44,6569.0
MA511C2425.ZCE,20250930,CZCE,7.0,5.0,4.0,4.5,2.5,2.5,3.0,2041.0,6.86,4161.0
MA511C2450.ZCE,20250930,CZCE,6.0,4.0,3.0,3.0,1.5,2.0,2.5,3096.0,7.57,3637.0
MA511C2475.ZCE,20250930,CZCE,5.0,2.5,2.5,2.5,1.0,2.0,1.5,1824.0,3.48,2093.0
MA511C2500.ZCE,20250930,CZCE,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1435.0,2.02,4209.0
MA511C2550.ZCE,20250930,CZCE,3.0,1.5,1.0,1.5,1.0,1.0,0.5,267.0,0.25,979.0
MA511C2600.ZCE,20250930,CZCE,2.0,1.5,0.5,1.0,0.5,1.0,0.5,374.0,0.36,2918.0
MA511C2650.ZCE,20250930,CZCE,1.5,1.0,1.0,1.0,0.5,0.5,0.5,385.0,0.24,2246.0
MA511C2700.ZCE,20250930,CZCE,1.5,0.5,1.0,1.0,0.5,0.5,0.5,489.0,0.27,1270.0
MA511C2750.ZCE,20250930,CZCE,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,626.0
MA511C2800.ZCE,20250930,CZCE,0.5,0.5,0.5,0.5,0.5,0.5,0.5,153.0,0.08,500.0
MA511C2850.ZCE,20250930,CZCE,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1877.0
MA511P2000.ZCE,20250930,CZCE,0.5,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
MA511P2025.ZCE,20250930,CZCE,0.5,0.0,0.5,1.0,0.5,1.0,0.5,114.0,0.09,684.0
MA511P2050.ZCE,20250930,CZCE,1.0,0.5,0.5,1.0,0.5,1.0,0.5,470.0,0.45,660.0
MA511P2075.ZCE,20250930,CZCE,1.0,0.5,0.5,1.5,0.5,1.5,0.5,872.0,0.86,1048.0
MA511P2100.ZCE,20250930,CZCE,1.5,1.0,1.0,2.0,0.5,2.0,0.5,957.0,1.2,963.0
MA511P2125.ZCE,20250930,CZCE,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1179.0,1.76,1057.0
MA511P2150.ZCE,20250930,CZCE,2.5,1.5,2.0,3.5,2.0,3.5,1.5,1940.0,4.79,1659.0
MA511P2175.ZCE,20250930,CZCE,3.0,2.0,2.0,4.5,2.0,4.5,2.5,1996.0,6.2,1371.0
MA511P2200.ZCE,20250930,CZCE,4.0,3.0,3.0,7.5,3.0,6.5,4.0,7008.0,32.46,3667.0
MA511P2225.ZCE,20250930,CZCE,6.0,4.0,5.0,10.0,5.0,9.0,7.0,8587.0,57.66,1921.0
MA511P2250.ZCE,20250930,CZCE,9.0,7.5,11.0,15.5,7.5,15.0,11.5,15935.0,182.69,6118.0
MA511P2275.ZCE,20250930,CZCE,15.0,14.0,16.0,28.0,16.0,28.0,20.5,10882.0,227.82,5232.0
MA511P2300.ZCE,20250930,CZCE,26.5,25.5,27.0,42.5,27.0,41.5,34.5,3681.0,128.97,3614.0
MA511P2325.ZCE,20250930,CZCE,43.5,41.5,48.5,69.0,47.0,69.0,53.5,600.0,32.35,1943.0
MA511P2350.ZCE,20250930,CZCE,64.5,61.5,70.0,83.5,68.0,83.5,74.0,171.0,12.71,890.0
MA511P2375.ZCE,20250930,CZCE,87.0,85.0,90.5,100.0,90.5,100.0,96.5,107.0,10.34,507.0
MA511P2400.ZCE,20250930,CZCE,110.0,107.5,114.0,119.0,113.5,117.0,119.5,66.0,7.75,378.0
MA511P2425.ZCE,20250930,CZCE,133.5,138.5,0.0,0.0,0.0,0.0,143.0,0.0,0.0,228.0
MA511P2450.ZCE,20250930,CZCE,157.5,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,84.0
MA511P2475.ZCE,20250930,CZCE,181.5,0.0,0.0,0.0,0.0,0.0,191.5,0.0,0.0,44.0
MA511P2500.ZCE,20250930,CZCE,206.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,36.0
MA511P2550.ZCE,20250930,CZCE,255.0,0.0,0.0,0.0,0.0,0.0,265.5,0.0,0.0,25.0
MA511P2600.ZCE,20250930,CZCE,304.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,37.0
MA511P2650.ZCE,20250930,CZCE,353.5,0.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,18.0
MA511P2700.ZCE,20250930,CZCE,403.0,0.0,0.0,0.0,0.0,0.0,415.0,0.0,0.0,12.0
MA511P2750.ZCE,20250930,CZCE,452.5,0.0,0.0,0.0,0.0,0.0,465.0,0.0,0.0,9.0
MA511P2800.ZCE,20250930,CZCE,502.5,0.0,0.0,0.0,0.0,0.0,515.0,0.0,0.0,3.0
MA511P2850.ZCE,20250930,CZCE,552.5,0.0,0.0,0.0,0.0,0.0,565.0,0.0,0.0,0.0
MA512C2050.ZCE,20250930,CZCE,286.5,,0.0,0.0,0.0,0.0,272.5,0.0,0.0,0.0
MA512C2075.ZCE,20250930,CZCE,262.5,0.0,240.0,243.0,235.0,235.0,248.0,125.0,29.69,69.0
MA512C2100.ZCE,20250930,CZCE,238.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0
MA512C2125.ZCE,20250930,CZCE,214.5,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0
MA512C2150.ZCE,20250930,CZCE,191.5,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0
MA512C2175.ZCE,20250930,CZCE,168.5,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0
MA512C2200.ZCE,20250930,CZCE,147.0,0.0,0.0,0.0,0.0,0.0,133.5,0.0,0.0,1.0
MA512C2225.ZCE,20250930,CZCE,126.0,119.5,106.5,115.0,106.0,106.0,114.0,57.0,6.34,160.0
MA512C2250.ZCE,20250930,CZCE,107.0,0.0,94.5,96.5,88.5,88.5,96.0,36.0,3.37,146.0
MA512C2275.ZCE,20250930,CZCE,89.5,83.5,79.0,80.5,78.0,80.0,80.0,26.0,2.07,118.0
MA512C2300.ZCE,20250930,CZCE,74.0,0.0,65.5,68.5,63.0,65.0,66.0,51.0,3.38,89.0
MA512C2325.ZCE,20250930,CZCE,60.5,60.5,47.5,55.0,47.5,53.5,54.0,125.0,6.52,93.0
MA512C2350.ZCE,20250930,CZCE,49.0,52.0,43.0,45.0,39.0,42.5,44.0,122.0,5.25,324.0
MA512C2375.ZCE,20250930,CZCE,40.0,39.5,36.0,38.5,34.0,34.0,36.5,89.0,3.23,412.0
MA512C2400.ZCE,20250930,CZCE,32.5,33.5,28.0,32.0,27.5,27.5,30.0,708.0,21.05,310.0
MA512C2425.ZCE,20250930,CZCE,26.5,27.0,22.0,27.0,21.0,23.5,24.5,719.0,17.63,344.0
MA512C2450.ZCE,20250930,CZCE,22.0,22.5,19.0,23.0,18.5,20.5,20.0,811.0,16.58,156.0
MA512C2475.ZCE,20250930,CZCE,18.0,18.5,15.5,19.5,14.5,16.0,17.0,1131.0,19.4,332.0
MA512C2500.ZCE,20250930,CZCE,15.0,15.0,13.5,16.5,11.5,13.0,14.0,913.0,13.07,361.0
MA512C2550.ZCE,20250930,CZCE,11.0,11.0,9.0,12.0,9.0,10.5,10.0,698.0,7.45,291.0
MA512C2600.ZCE,20250930,CZCE,8.0,8.0,6.5,8.5,6.5,7.5,7.5,275.0,2.04,180.0
MA512C2650.ZCE,20250930,CZCE,6.0,6.0,4.5,27.5,4.5,7.0,5.5,141.0,0.83,294.0
MA512C2700.ZCE,20250930,CZCE,4.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,272.0
MA512C2750.ZCE,20250930,CZCE,3.5,0.0,0.5,3.0,0.5,3.0,3.0,23.0,0.04,310.0
MA512C2800.ZCE,20250930,CZCE,3.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,89.0
MA512C2850.ZCE,20250930,CZCE,2.0,0.0,2.0,2.5,2.0,2.0,2.0,13.0,0.03,356.0
MA512P2050.ZCE,20250930,CZCE,2.0,,2.5,2.5,2.0,2.0,1.0,30.0,0.06,1.0
MA512P2075.ZCE,20250930,CZCE,3.0,3.0,3.5,3.5,2.0,2.0,1.5,74.0,0.17,201.0
MA512P2100.ZCE,20250930,CZCE,3.5,3.5,4.0,4.0,3.5,3.5,2.5,41.0,0.16,276.0
MA512P2125.ZCE,20250930,CZCE,5.0,4.5,5.5,5.5,4.5,4.5,3.5,62.0,0.34,191.0
MA512P2150.ZCE,20250930,CZCE,6.5,6.5,7.0,8.0,6.0,6.0,5.5,253.0,1.72,127.0
MA512P2175.ZCE,20250930,CZCE,9.0,9.0,8.5,11.0,8.0,9.0,8.0,693.0,6.71,291.0
MA512P2200.ZCE,20250930,CZCE,12.0,11.5,13.0,15.0,11.5,13.5,12.0,634.0,8.46,905.0
MA512P2225.ZCE,20250930,CZCE,16.5,15.0,17.5,21.0,16.0,19.0,17.0,636.0,11.57,400.0
MA512P2250.ZCE,20250930,CZCE,22.0,19.5,23.0,28.0,22.0,26.0,24.0,716.0,18.04,320.0
MA512P2275.ZCE,20250930,CZCE,29.5,27.0,31.0,37.5,31.0,35.5,33.0,300.0,10.33,371.0
MA512P2300.ZCE,20250930,CZCE,39.0,37.0,46.0,49.0,44.5,45.5,44.0,100.0,4.59,371.0
MA512P2325.ZCE,20250930,CZCE,50.5,47.0,57.5,61.5,56.5,57.5,57.0,119.0,6.98,271.0
MA512P2350.ZCE,20250930,CZCE,64.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,298.0
MA512P2375.ZCE,20250930,CZCE,80.0,75.5,0.0,0.0,0.0,0.0,89.0,0.0,0.0,289.0
MA512P2400.ZCE,20250930,CZCE,97.5,0.0,0.0,0.0,0.0,0.0,107.5,0.0,0.0,138.0
MA512P2425.ZCE,20250930,CZCE,116.0,121.5,0.0,0.0,0.0,0.0,127.0,0.0,0.0,88.0
MA512P2450.ZCE,20250930,CZCE,136.5,0.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,23.0
MA512P2475.ZCE,20250930,CZCE,157.5,0.0,0.0,0.0,0.0,0.0,169.5,0.0,0.0,38.0
MA512P2500.ZCE,20250930,CZCE,179.5,0.0,0.0,0.0,0.0,0.0,191.5,0.0,0.0,12.0
MA512P2550.ZCE,20250930,CZCE,225.5,0.0,0.0,0.0,0.0,0.0,237.5,0.0,0.0,3.0
MA512P2600.ZCE,20250930,CZCE,272.5,0.0,0.0,0.0,0.0,0.0,284.5,0.0,0.0,3.0
MA512P2650.ZCE,20250930,CZCE,320.5,0.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,3.0
MA512P2700.ZCE,20250930,CZCE,369.0,0.0,0.0,0.0,0.0,0.0,381.5,0.0,0.0,3.0
MA512P2750.ZCE,20250930,CZCE,418.0,0.0,0.0,0.0,0.0,0.0,430.5,0.0,0.0,3.0
MA512P2800.ZCE,20250930,CZCE,467.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,3.0
MA512P2850.ZCE,20250930,CZCE,516.5,0.0,0.0,0.0,0.0,0.0,529.0,0.0,0.0,0.0
MA601C2000.ZCE,20250930,CZCE,360.0,0.0,0.0,0.0,0.0,0.0,342.0,0.0,0.0,1.0
MA601C2025.ZCE,20250930,CZCE,335.5,0.0,0.0,0.0,0.0,0.0,317.5,0.0,0.0,0.0
MA601C2050.ZCE,20250930,CZCE,311.0,0.0,0.0,0.0,0.0,0.0,293.5,0.0,0.0,2.0
MA601C2075.ZCE,20250930,CZCE,287.0,0.0,0.0,0.0,0.0,0.0,269.5,0.0,0.0,1.0
MA601C2100.ZCE,20250930,CZCE,263.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,1.0
MA601C2125.ZCE,20250930,CZCE,239.0,0.0,0.0,0.0,0.0,0.0,222.5,0.0,0.0,4.0
MA601C2150.ZCE,20250930,CZCE,215.5,0.0,201.0,201.0,201.0,201.0,200.0,60.0,12.06,123.0
MA601C2175.ZCE,20250930,CZCE,192.5,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,19.0
MA601C2200.ZCE,20250930,CZCE,170.5,0.0,160.5,160.5,160.0,160.0,157.5,2.0,0.32,306.0
MA601C2225.ZCE,20250930,CZCE,149.5,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,84.0
MA601C2250.ZCE,20250930,CZCE,131.0,133.0,123.5,125.0,117.5,118.0,120.0,238.0,28.64,460.0
MA601C2275.ZCE,20250930,CZCE,114.0,118.0,109.0,109.0,99.0,99.0,104.0,785.0,82.02,955.0
MA601C2300.ZCE,20250930,CZCE,99.0,101.5,94.0,95.0,84.0,84.0,90.5,486.0,43.97,781.0
MA601C2325.ZCE,20250930,CZCE,85.5,87.0,81.5,81.5,74.0,76.5,78.5,579.0,45.46,1041.0
MA601C2350.ZCE,20250930,CZCE,75.0,76.5,72.0,74.0,66.5,69.5,68.5,8008.0,563.29,14495.0
MA601C2375.ZCE,20250930,CZCE,65.5,66.5,61.0,63.0,50.5,50.5,59.5,3164.0,189.26,7550.0
MA601C2400.ZCE,20250930,CZCE,57.5,57.5,55.0,55.0,47.5,47.5,52.5,2200.0,115.13,6627.0
MA601C2425.ZCE,20250930,CZCE,51.0,51.0,49.0,49.0,42.0,42.0,46.5,1476.0,68.72,3258.0
MA601C2450.ZCE,20250930,CZCE,45.5,44.5,42.0,43.5,38.0,38.0,41.5,2898.0,118.02,3052.0
MA601C2475.ZCE,20250930,CZCE,40.5,40.5,38.0,39.5,34.5,35.0,37.0,1211.0,45.08,2038.0
MA601C2500.ZCE,20250930,CZCE,36.5,37.5,35.5,37.0,31.5,31.5,33.5,6243.0,214.78,16612.0
MA601C2550.ZCE,20250930,CZCE,29.5,30.0,27.5,29.5,25.0,26.0,27.5,3109.0,84.25,3695.0
MA601C2600.ZCE,20250930,CZCE,24.5,26.0,23.0,24.0,20.5,21.0,22.5,2649.0,59.2,7102.0
MA601C2650.ZCE,20250930,CZCE,20.0,20.5,18.5,19.5,17.0,17.5,19.0,2071.0,38.2,4544.0
MA601C2700.ZCE,20250930,CZCE,16.5,17.5,17.0,17.0,15.0,15.5,16.0,1038.0,16.45,4652.0
MA601C2750.ZCE,20250930,CZCE,14.0,15.5,14.0,14.5,12.5,12.5,14.0,413.0,5.68,2244.0
MA601C2800.ZCE,20250930,CZCE,12.0,14.0,13.0,14.5,10.5,13.5,11.5,579.0,7.08,4906.0
MA601C2850.ZCE,20250930,CZCE,10.0,12.0,11.0,11.0,9.0,9.0,10.0,1957.0,20.48,4150.0
MA601P2000.ZCE,20250930,CZCE,5.0,3.0,3.5,3.5,2.5,3.5,3.0,1354.0,4.42,2848.0
MA601P2025.ZCE,20250930,CZCE,5.5,0.0,3.5,3.5,3.5,3.5,3.5,2.0,0.01,331.0
MA601P2050.ZCE,20250930,CZCE,6.0,0.0,4.5,4.5,3.5,3.5,4.5,2.0,0.01,520.0
MA601P2075.ZCE,20250930,CZCE,7.0,4.5,5.0,5.5,5.0,5.0,5.5,45.0,0.23,229.0
MA601P2100.ZCE,20250930,CZCE,7.5,6.0,6.0,8.5,6.0,8.5,6.5,980.0,6.34,1401.0
MA601P2125.ZCE,20250930,CZCE,9.0,7.0,7.5,8.5,7.5,7.5,8.5,487.0,3.82,609.0
MA601P2150.ZCE,20250930,CZCE,10.0,9.0,9.0,11.0,9.0,11.0,11.0,1322.0,13.59,989.0
MA601P2175.ZCE,20250930,CZCE,12.5,11.5,13.0,15.0,12.5,13.0,13.5,944.0,12.68,854.0
MA601P2200.ZCE,20250930,CZCE,15.0,14.0,15.0,20.0,15.0,19.0,18.0,2360.0,42.22,4406.0
MA601P2225.ZCE,20250930,CZCE,19.0,19.0,20.5,29.0,20.5,29.0,23.5,1376.0,32.32,2365.0
MA601P2250.ZCE,20250930,CZCE,25.0,25.0,26.0,34.0,26.0,34.0,30.5,2896.0,88.71,4349.0
MA601P2275.ZCE,20250930,CZCE,33.0,33.0,35.5,47.0,35.5,47.0,39.5,1528.0,60.55,2986.0
MA601P2300.ZCE,20250930,CZCE,43.0,42.0,40.0,53.5,40.0,53.0,50.5,6482.0,317.86,13789.0
MA601P2325.ZCE,20250930,CZCE,55.0,53.0,58.0,68.5,58.0,66.0,63.5,2962.0,187.29,3948.0
MA601P2350.ZCE,20250930,CZCE,69.0,67.0,71.0,83.0,71.0,79.5,78.5,2028.0,157.62,6303.0
MA601P2375.ZCE,20250930,CZCE,84.5,82.5,87.5,99.0,87.5,95.0,94.5,765.0,72.37,3084.0
MA601P2400.ZCE,20250930,CZCE,101.5,98.0,105.5,116.0,105.0,116.0,112.5,694.0,77.02,7121.0
MA601P2425.ZCE,20250930,CZCE,120.0,117.5,132.5,133.0,126.5,130.0,131.0,262.0,34.13,1450.0
MA601P2450.ZCE,20250930,CZCE,139.0,133.0,150.5,153.0,148.5,151.5,151.0,214.0,32.09,1021.0
MA601P2475.ZCE,20250930,CZCE,159.0,160.0,168.0,168.0,168.0,168.0,171.5,1.0,0.17,928.0
MA601P2500.ZCE,20250930,CZCE,179.5,175.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,1394.0
MA601P2550.ZCE,20250930,CZCE,222.5,0.0,0.0,0.0,0.0,0.0,236.5,0.0,0.0,721.0
MA601P2600.ZCE,20250930,CZCE,267.5,258.0,0.0,0.0,0.0,0.0,281.5,0.0,0.0,276.0
MA601P2650.ZCE,20250930,CZCE,313.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,200.0
MA601P2700.ZCE,20250930,CZCE,359.5,0.0,0.0,0.0,0.0,0.0,374.5,0.0,0.0,230.0
MA601P2750.ZCE,20250930,CZCE,407.0,402.0,0.0,0.0,0.0,0.0,422.5,0.0,0.0,167.0
MA601P2800.ZCE,20250930,CZCE,454.5,0.0,0.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0
MA601P2850.ZCE,20250930,CZCE,502.5,502.0,525.0,525.0,525.0,525.0,518.5,5.0,2.63,57.0
MA602C2075.ZCE,20250930,CZCE,315.0,,0.0,0.0,0.0,0.0,298.0,0.0,0.0,0.0
MA602C2100.ZCE,20250930,CZCE,292.5,0.0,0.0,0.0,0.0,0.0,274.5,0.0,0.0,0.0
MA602C2125.ZCE,20250930,CZCE,269.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0
MA602C2150.ZCE,20250930,CZCE,245.5,0.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0
MA602C2175.ZCE,20250930,CZCE,223.0,0.0,0.0,0.0,0.0,0.0,208.5,0.0,0.0,0.0
MA602C2200.ZCE,20250930,CZCE,201.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0
MA602C2225.ZCE,20250930,CZCE,180.0,0.0,0.0,0.0,0.0,0.0,168.5,0.0,0.0,0.0
MA602C2250.ZCE,20250930,CZCE,161.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0
MA602C2275.ZCE,20250930,CZCE,143.0,0.0,0.0,0.0,0.0,0.0,133.5,0.0,0.0,0.0
MA602C2300.ZCE,20250930,CZCE,127.0,0.0,0.0,0.0,0.0,0.0,117.5,0.0,0.0,0.0
MA602C2325.ZCE,20250930,CZCE,113.0,0.0,0.0,0.0,0.0,0.0,103.5,0.0,0.0,3.0
MA602C2350.ZCE,20250930,CZCE,100.5,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,9.0
MA602C2375.ZCE,20250930,CZCE,89.5,0.0,78.0,78.0,78.0,78.0,79.5,3.0,0.23,12.0
MA602C2400.ZCE,20250930,CZCE,80.5,0.0,69.0,69.0,69.0,69.0,70.0,3.0,0.21,15.0
MA602C2425.ZCE,20250930,CZCE,72.0,0.0,60.5,60.5,60.5,60.5,61.5,3.0,0.18,23.0
MA602C2450.ZCE,20250930,CZCE,65.0,0.0,54.0,54.0,53.0,53.0,54.0,6.0,0.32,27.0
MA602C2475.ZCE,20250930,CZCE,58.5,0.0,47.5,47.5,46.5,46.5,48.0,9.0,0.42,42.0
MA602C2500.ZCE,20250930,CZCE,53.5,0.0,40.5,42.5,40.5,41.5,42.5,16.0,0.66,56.0
MA602C2550.ZCE,20250930,CZCE,44.0,38.5,34.0,34.0,33.0,33.0,34.5,6.0,0.2,123.0
MA602C2600.ZCE,20250930,CZCE,37.0,31.0,28.0,28.5,27.0,28.5,28.5,12.0,0.34,129.0
MA602C2650.ZCE,20250930,CZCE,31.5,25.5,0.0,0.0,0.0,0.0,23.5,0.0,0.0,51.0
MA602C2700.ZCE,20250930,CZCE,26.5,21.5,19.0,20.5,19.0,20.5,20.0,9.0,0.18,54.0
MA602P2075.ZCE,20250930,CZCE,8.5,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
MA602P2100.ZCE,20250930,CZCE,11.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0
MA602P2125.ZCE,20250930,CZCE,12.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
MA602P2150.ZCE,20250930,CZCE,14.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
MA602P2175.ZCE,20250930,CZCE,16.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,3.0
MA602P2200.ZCE,20250930,CZCE,19.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,9.0
MA602P2225.ZCE,20250930,CZCE,23.0,0.0,0.0,0.0,0.0,0.0,25.5,0.0,0.0,21.0
MA602P2250.ZCE,20250930,CZCE,29.0,0.0,32.5,32.5,32.5,32.5,31.5,3.0,0.1,67.0
MA602P2275.ZCE,20250930,CZCE,36.0,0.0,40.0,40.0,40.0,40.0,40.0,3.0,0.12,54.0
MA602P2300.ZCE,20250930,CZCE,44.5,0.0,50.0,50.0,50.0,50.0,49.0,3.0,0.15,55.0
MA602P2325.ZCE,20250930,CZCE,55.5,0.0,60.5,60.5,60.5,60.5,59.5,3.0,0.18,48.0
MA602P2350.ZCE,20250930,CZCE,67.5,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,21.0
MA602P2375.ZCE,20250930,CZCE,81.5,0.0,0.0,0.0,0.0,0.0,85.5,0.0,0.0,4.0
MA602P2400.ZCE,20250930,CZCE,97.5,0.0,0.0,0.0,0.0,0.0,100.5,0.0,0.0,2.0
MA602P2425.ZCE,20250930,CZCE,113.5,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0
MA602P2450.ZCE,20250930,CZCE,131.5,0.0,0.0,0.0,0.0,0.0,134.5,0.0,0.0,0.0
MA602P2475.ZCE,20250930,CZCE,150.0,0.0,0.0,0.0,0.0,0.0,153.5,0.0,0.0,0.0
MA602P2500.ZCE,20250930,CZCE,169.5,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0
MA602P2550.ZCE,20250930,CZCE,210.0,0.0,0.0,0.0,0.0,0.0,214.5,0.0,0.0,0.0
MA602P2600.ZCE,20250930,CZCE,252.5,0.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0
MA602P2650.ZCE,20250930,CZCE,297.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0
MA602P2700.ZCE,20250930,CZCE,341.5,0.0,0.0,0.0,0.0,0.0,349.5,0.0,0.0,0.0
MA605C2075.ZCE,20250930,CZCE,320.0,,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0
MA605C2100.ZCE,20250930,CZCE,298.0,0.0,0.0,0.0,0.0,0.0,286.5,0.0,0.0,0.0
MA605C2125.ZCE,20250930,CZCE,277.0,0.0,0.0,0.0,0.0,0.0,265.5,0.0,0.0,0.0
MA605C2150.ZCE,20250930,CZCE,257.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0
MA605C2175.ZCE,20250930,CZCE,237.5,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,0.0
MA605C2200.ZCE,20250930,CZCE,219.5,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0
MA605C2225.ZCE,20250930,CZCE,201.5,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0
MA605C2250.ZCE,20250930,CZCE,185.5,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0
MA605C2275.ZCE,20250930,CZCE,169.5,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0
MA605C2300.ZCE,20250930,CZCE,155.5,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0
MA605C2325.ZCE,20250930,CZCE,142.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,3.0
MA605C2350.ZCE,20250930,CZCE,130.0,0.0,177.0,177.0,87.5,87.5,122.5,2.0,0.26,3.0
MA605C2375.ZCE,20250930,CZCE,118.5,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,9.0
MA605C2400.ZCE,20250930,CZCE,108.5,0.0,0.0,0.0,0.0,0.0,101.5,0.0,0.0,15.0
MA605C2425.ZCE,20250930,CZCE,99.0,0.0,0.0,0.0,0.0,0.0,92.5,0.0,0.0,16.0
MA605C2450.ZCE,20250930,CZCE,90.0,0.0,0.0,0.0,0.0,0.0,84.5,0.0,0.0,18.0
MA605C2475.ZCE,20250930,CZCE,82.5,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,41.0
MA605C2500.ZCE,20250930,CZCE,75.5,70.5,0.0,0.0,0.0,0.0,70.0,0.0,0.0,46.0
MA605C2550.ZCE,20250930,CZCE,63.5,0.0,58.5,58.5,58.5,58.5,59.0,3.0,0.18,63.0
